"Pos","Team.Klafta","WAR","Team.Starr","WAR","Team.Campbell","WAR","Team.Corsello","WAR","Team.Weintraub","WAR","Team.Wayne","WAR","Team.Blanco","WAR"
"SP","Jack Flaherty","0","Tyler Mahle","0.1","Sean Manaea","-0.1","Sonny Gray","-0.1","Eduardo Rodriguez","-0.5","Justin Verlander","0.9","Trevor Rogers","-0.2"
"SP","Tyler Glasnow","0","Ranger Suarez","0.1","Jordan Montgomery","0.4","Luis Garcia","0.1","Clayton Kershaw","0.7","Cal Quantrill","0.1","Ian Anderson","0.0"
"SP","Sixto Sanchez","0","Chris Flexen","0.3","Marcus Stroman","-0.4","Chris Sale","0","Yu Darvish","-0.3","Casey Mize","-0.1","Michael Kopech","1.1"
"SP","Kyle Hendricks","-0.1","Kyle Gibson","0.6","Framber Valdez","0.1","Mike Clevinger","0","Hyun Jin Ryu","-0.6","Pablo Lopez","1.5","Jesus Luzardo","0.3"
"SP","Kenta Maeda","0","John Means","0.2","Zac Gallen","0.9","Nick Pivetta","-0.5","Eric Lauer","0.6","Mitch Keller","-0.3","Alex Wood","0.3"
"RP","Josh Lindblom","0","Liam Hendriks","-0.2","Josh Hader","0.7","Ryan Pressly","-0.1","Devin Williams","-0.1","Scott Barlow","0.4","Kendall Graveman","0.3"
"RP","David Bednar","0.6","Garrett Whitlock","1.0","Emmanuel Clase","-0.2","Giovanny Gallegos","-0.3","Blake Treinen","0.0","Camilo Doval","0.2","Raisel Iglesias","0.4"
"RP","Brooks Raley","0.1","Kenley Jansen","0.2","Jake McGee","0.2","Matt Barnes","-0.3","Corey Knebel","0.3","Dinelson Lamet","-0.1","Tyler Rogers","0.4"
"RP","Collin McHugh","-0.1","Ryan Tepera","0.4","Craig Kimbrel","0.1","Gregory Soto","0.0","Phil Bickford","0.2","Brusdar Graterol","0.2","Andrew Kittredge","0.2"
"RP","Connor Brogdon","-0.1","Jordan Romano","0.6","Paul Sewald","0.3","Taylor Rogers","0.4","Andrew Chafin","0","Diego Castillo","0.1","Aaron Bummer","-0.3"
"RP","Michael Lorenzen","0.4","Edwin Diaz","0.3","Robert Suarez","-0.1","Reynoldo Lopez","-0.1","Aaron Ashby","-0.1","Chad Green","-0.2","Cristian Javier","0.4"
